Source;Target;Type;Id;label;Weight
197;295;Directed;1000;1;1491
295;258;Directed;1001;1;1491
258;294;Directed;1002;1;1491
294;168;Directed;1003;1;1491
168;141;Directed;1004;1;1491
141;76;Directed;1005;1;1491
76;29;Directed;1006;1;1491
29;303;Directed;1007;1;1491
303;201;Directed;1008;1;1491
201;9;Directed;1009;1;1491
9;161;Directed;1010;1;1491
161;70;Directed;1011;1;1491
70;201;Directed;1012;1;1491
201;303;Directed;1013;1;1491
303;29;Directed;1014;1;1491
29;76;Directed;1015;1;1491
76;141;Directed;1016;1;1491
141;168;Directed;1017;1;1491
168;294;Directed;1018;1;1491
294;258;Directed;1019;1;1491
258;295;Directed;1020;1;1491
295;197;Directed;1021;1;1491
197;295;Directed;1022;2;2157
295;258;Directed;1023;2;2157
258;294;Directed;1024;2;2157
294;168;Directed;1025;2;2157
168;141;Directed;1026;2;2157
141;169;Directed;1027;2;2157
169;50;Directed;1028;2;2157
50;69;Directed;1029;2;2157
69;207;Directed;1030;2;2157
207;63;Directed;1031;2;2157
63;40;Directed;1032;2;2157
40;144;Directed;1033;2;2157
144;54;Directed;1034;2;2157
54;72;Directed;1035;2;2157
72;65;Directed;1036;2;2157
65;17;Directed;1037;2;2157
17;92;Directed;1038;2;2157
92;54;Directed;1039;2;2157
54;144;Directed;1040;2;2157
144;40;Directed;1041;2;2157
40;63;Directed;1042;2;2157
63;207;Directed;1043;2;2157
207;69;Directed;1044;2;2157
69;50;Directed;1045;2;2157
50;169;Directed;1046;2;2157
169;141;Directed;1047;2;2157
141;168;Directed;1048;2;2157
168;294;Directed;1049;2;2157
294;258;Directed;1050;2;2157
258;295;Directed;1051;2;2157
295;197;Directed;1052;2;2157
249;111;Directed;1053;3;270
111;58;Directed;1054;3;270
58;294;Directed;1055;3;270
294;231;Directed;1056;3;270
231;32;Directed;1057;3;270
32;31;Directed;1058;3;270
31;16;Directed;1059;3;270
16;177;Directed;1060;3;270
177;88;Directed;1061;3;270
88;145;Directed;1062;3;270
145;139;Directed;1063;3;270
139;145;Directed;1064;3;270
145;88;Directed;1065;3;270
88;177;Directed;1066;3;270
177;16;Directed;1067;3;270
16;31;Directed;1068;3;270
31;32;Directed;1069;3;270
32;231;Directed;1070;3;270
231;135;Directed;1071;3;270
135;58;Directed;1072;3;270
58;111;Directed;1073;3;270
111;249;Directed;1074;3;270
249;111;Directed;1075;3A;150
111;58;Directed;1076;3A;150
58;294;Directed;1077;3A;150
294;231;Directed;1078;3A;150
231;32;Directed;1079;3A;150
32;31;Directed;1080;3A;150
31;16;Directed;1081;3A;150
16;177;Directed;1082;3A;150
177;88;Directed;1083;3A;150
88;145;Directed;1084;3A;150
145;139;Directed;1085;3A;150
139;96;Directed;1086;3A;150
96;210;Directed;1087;3A;120
210;95;Directed;1088;3A;120
95;255;Directed;1089;3A;120
255;88;Directed;1090;3A;120
88;177;Directed;1091;3A;120
177;16;Directed;1092;3A;120
16;31;Directed;1093;3A;120
31;32;Directed;1094;3A;120
32;231;Directed;1095;3A;120
231;135;Directed;1096;3A;120
135;58;Directed;1097;3A;120
58;111;Directed;1098;3A;120
111;249;Directed;1099;3A;120
249;111;Directed;1100;4;300
111;58;Directed;1101;4;300
58;294;Directed;1102;4;300
294;135;Directed;1103;4;300
135;194;Directed;1104;4;300
194;66;Directed;1105;4;300
66;45;Directed;1106;4;300
45;218;Directed;1107;4;300
218;30;Directed;1108;4;300
30;98;Directed;1109;4;300
98;135;Directed;1110;4;300
135;58;Directed;1111;4;300
58;111;Directed;1112;4;300
111;249;Directed;1113;4;300
249;111;Directed;1114;5;444
111;191;Directed;1115;5;444
191;190;Directed;1116;5;444
190;197;Directed;1117;5;444
197;291;Directed;1118;5;444
291;98;Directed;1119;5;444
98;194;Directed;1120;5;444
194;66;Directed;1121;5;444
66;45;Directed;1122;5;444
45;218;Directed;1123;5;444
218;16;Directed;1124;5;444
16;177;Directed;1125;5;444
177;88;Directed;1126;5;444
88;145;Directed;1127;5;444
145;139;Directed;1128;5;444
139;171;Directed;1129;5;444
171;172;Directed;1130;5;444
172;139;Directed;1131;5;338
139;145;Directed;1132;5;338
145;88;Directed;1133;5;338
88;177;Directed;1134;5;338
177;16;Directed;1135;5;338
16;30;Directed;1136;5;338
30;98;Directed;1137;5;338
98;291;Directed;1138;5;338
291;197;Directed;1139;5;338
197;190;Directed;1140;5;338
