Id;Label;Weight
1;35-os ut;1842
2;9. kilometerko;180
3;Acsadi ut;855
4;Agrargazdasag;1842
5;Agrartudomanyi Centrum;3113
6;Alfoldi Nyomda;1491
7;Alma u.;306
8;Alsojozsai u.;795
9;Aquaticum;1491
10;ATEV;543
11;Auchan aruhaz;60
12;Auguszta;1295
13;Autopiac;120
14;achim Andras u.;251
15;allatmenhely;543
16;arpad ter;3041
17;arpad Vezer alt. Isk. + Boszormenyi ut, villamos;5141
18;Baksay Sandor u.;180
19;Balaton u.;690
20;Balashazy Janos Szki.;295
21;Barackos u.;543
22;Baratsag u.;279
23;Baskir u.;300
24;Bayk Andras u.;1020
25;Badogos u.;690
26;Balint pap u.;553
27;Bank;543
28;Bank, Iskola;543
29;Bem ter + Bem ter, villamos + Egyetem sgt.;4069
30;Benedek Elek ter;1611
31;Bercsenyi u.;2215
32;Berek u.;2215
33;Besze Janos u. + Olah Gabor u.;120
34;Bevasarlokozpont;120
35;Bevasarlokozpontok;450
36;Beke major;120
37;Bekessy Bela u.;2728
38;Biczokert u.;543
39;Bihari u. + Sipos u.;1936
40;Bolyai u. + DAB szekhaz + DAB szekhaz, villamos;4956
41;Bondorhat u.;546
42;Borzan Gaspar u.;2015
43;Bolcs u.;300
44;Branyiszko u.;1842
45;Brassai Samuel Szki.;1148
46;Budai Nagy Antal u.;1528
47;Bulgar u.;720
48;Csalogany u.;360
49;Csarda u.;543
50;Csemete u. + Csemete u., villamos;4896
51;Csereerdo;171
52;Cseresznye u.;1156
53;Csigekert u.;300
54;Csokonai Vitez Mihaly Gimnazium + Csokonai VMGimn, villamos;5089
55;Csonkatorony u.;795
56;Deak Ferenc u. + Szivarvany u.;546
57;Debreceni Eromu + Hid u.;1661
58;Debreceni itelotabla +Torvenyszek;4403
59;Deli sor;785
60;Deli sor 55.;785
61;Derek u. (jegcsarnok) + Gyepusor;3022
62;Diadal u.;320
63;Dienes Laszlo Gimn.+Dienes Lgimn, villamos;4956
64;Dioszegi ut;2033
65;Doberdo u. + Doberdo u., villamos;4020
66;Dobozi lakotelep;1148
67;Dorottya u.;3022
68;Doczy Jozsef u.;965
69;Dozsa Gyorgy u. + Dozsa Gyorgy u., villamos;4896
70;Egyetem + Egyetem, villamos;2501
71;Egyetem ter;847
72;Egyetemi sporttelep + Kartacs u. + Kartacs u., villamos;3097
73;Elek u.;279
74;Elek u. 147.;279
75;Endre u.;435
76;Eotvos u. + Honved (villamos);2982
77;Epreskerti alt. Isk.;120
78;Erdeszhaz;295
79;Eross Lajos u. + Gyolcsos u.;1177
80;epitok utja;930
81;FAG;560
82;Faloger;2571
83;Fancsika;171
84;Felsojozsa;546
85;Felsojozsai u.;1137
86;Fiakeres u.;1020
87;Foldi Janos u.;1163
88;Fonix Csarnok +Campus;2981
89;Furedi ut + Furedi kapu + Domokos Lajos u. + Jeriko u.;3458
90;Gazvezetek u.;630
91;Gonczy Pal alt. Isk.;312
92;Gorgey u.;2157
93;Gyogyszergyar;953
94;Hadhazi ut;120
95;Hadhazi ut 92.;330
96;Hadhazi ut, vizsgakozpont;270
97;HAJDuKOMM;360
98;Hajnal u. + Faraktar u.;4737
99;Halap;171
100;Halap, csarda;171
101;Halap, utorhaz;171
102;Hangyas u.;1842
103;Harsona u.;270
104;Harstein kertek;1592
105;Hatar ut;610
106;Hatar uti Ipari Park;270
107;Hatvan u.;3274
108;Harmashegy u.;693
109;Hars u.;300
110;Hazgyar u.;690
111;Helykozi autobusz-allomas + Mechwart Andras Szki.;8053
112;Hintos u.;180
113;Hold u.;820
114;Hollo Laszlo setany;3530
115;Homok u.;120
116;Honved Kozepiskola;240
117;Honved u. (Bethlen u.);907
118;Horgasztavak;543
119;Hun u.;720
120;Huszar Gal u.;435
121;Inter Tan-Ker Zrt.;200
122;Ipari Park, bejaro ut;560
123;Ipari Park, szerviz ut;400
124;Iranyi Daniel u.;1019
125;Istvan ut + Kadosa u.;2340
126;IT Services Hungary Kft.;792
127;Janosi u.;553
128;Jegcsarnok;1338
129;Jozsakert u.;795
130;Juhasz Geza u.;855
131;Julia-telep;380
132;Kalasz u.;180
133;Kabar u.;948
134;Kanalis u.;690
135;Kandia u. + Kossuth u. + Klaipeda;3222
136;Karacs Ferenc u.;300
137;Kardos u.;120
138;Kaskoto u.;306
139;Kassai ut;2471
140;Kadar dulo;180
141;Kalvin ter, villamos* + Tanitokepzo Foiskola;8372
142;Karoli Gaspar ter + Vendeg u. + Pesti u.;4029
143;Karoli Gaspar u. + Vezer u.;792
144;Karolyi Mihaly u., villamos;4314
145;Kemeny Zsigmond u.;2471
146;Kenezy Gyula Korhaz;930
147;Kerekestelepi furdo;300
148;Keresszegi u.;553
149;Keresztesi u.;1163
150;Kertvaros;3068
151;Keknyelu u.;171
152;Keresz u.;693
153;Kincseshegy u.;553
154;Kinizsi Nyomda;582
155;Kisbanya utca;543
156;Kishatar u.;480
157;Kishegyesi ut + Sesztina u.;3999
158;Kismacs;120
159;Kismacs, lakotelep;150
160;Klauzal Gabor u.;251
161;Klinikak + Klinikak, villamos;3123
162;Kolonia u.;1298
