Source;Target;Type;Id;Label;Weight
56;55;Directed;1000;1;120
55;139;Directed;1001;1;120
139;171;Directed;1002;1;120
171;198;Directed;1003;1;120
198;6;Directed;1004;1;120
6;132;Directed;1005;1;120
132;33;Directed;1006;1;120
33;5;Directed;1007;1;120
5;150;Directed;1008;1;120
150;101;Directed;1009;1;120
101;125;Directed;1010;1;120
125;128;Directed;1011;1;120
128;72;Directed;1012;1;120
72;150;Directed;1013;1;120
150;169;Directed;1014;1;120
169;103;Directed;1015;1;120
103;67;Directed;1016;1;120
67;98;Directed;1017;1;120
98;25;Directed;1018;1;120
25;17;Directed;1019;1;120
17;23;Directed;1020;1;120
23;214;Directed;1021;1;120
214;224;Directed;1022;1;120
224;152;Directed;1023;1;120
152;112;Directed;1024;1;120
112;29;Directed;1025;1;120
29;118;Directed;1026;1;120
118;119;Directed;1027;1;120
119;173;Directed;1028;1;120
173;207;Directed;1029;1;120
207;173;Directed;1030;1;120
173;119;Directed;1031;1;120
119;118;Directed;1032;1;120
118;29;Directed;1033;1;120
29;112;Directed;1034;1;120
112;152;Directed;1035;1;120
152;225;Directed;1036;1;120
225;214;Directed;1037;1;120
214;17;Directed;1038;1;120
17;25;Directed;1039;1;120
25;98;Directed;1040;1;120
98;67;Directed;1041;1;120
67;103;Directed;1042;1;120
103;169;Directed;1043;1;120
169;150;Directed;1044;1;120
150;72;Directed;1045;1;120
72;128;Directed;1046;1;120
128;125;Directed;1047;1;120
125;101;Directed;1048;1;120
101;150;Directed;1049;1;120
150;5;Directed;1050;1;120
5;33;Directed;1051;1;120
33;132;Directed;1052;1;120
132;6;Directed;1053;1;120
6;198;Directed;1054;1;120
198;171;Directed;1055;1;120
171;139;Directed;1056;1;120
139;55;Directed;1057;1;120
55;56;Directed;1058;1;120
125;128;Directed;1059;1A;140
128;72;Directed;1060;1A;140
72;150;Directed;1061;1A;140
150;169;Directed;1062;1A;140
169;103;Directed;1063;1A;140
103;67;Directed;1064;1A;140
67;98;Directed;1065;1A;140
98;25;Directed;1066;1A;140
25;17;Directed;1067;1A;140
17;23;Directed;1068;1A;140
23;214;Directed;1069;1A;140
214;224;Directed;1070;1A;140
224;152;Directed;1071;1A;140
152;112;Directed;1072;1A;140
112;29;Directed;1073;1A;140
29;118;Directed;1074;1A;140
118;119;Directed;1075;1A;140
119;173;Directed;1076;1A;140
173;207;Directed;1077;1A;140
207;173;Directed;1078;1A;140
173;119;Directed;1079;1A;140
119;118;Directed;1080;1A;140
118;29;Directed;1081;1A;140
29;112;Directed;1082;1A;140
112;152;Directed;1083;1A;140
152;225;Directed;1084;1A;140
225;214;Directed;1085;1A;140
214;17;Directed;1086;1A;140
17;25;Directed;1087;1A;140
25;98;Directed;1088;1A;140
98;67;Directed;1089;1A;140
67;103;Directed;1090;1A;140
103;169;Directed;1091;1A;140
169;150;Directed;1092;1A;140
150;72;Directed;1093;1A;140
72;128;Directed;1094;1A;140
128;125;Directed;1095;1A;140
214;224;Directed;1096;1AM;35
224;152;Directed;1097;1AM;35
152;112;Directed;1098;1AM;35
112;29;Directed;1099;1AM;35
29;118;Directed;1100;1AM;35
118;119;Directed;1101;1AM;35
119;173;Directed;1102;1AM;35
173;207;Directed;1103;1AM;35
165;214;Directed;1104;2;512
214;17;Directed;1105;2;512
17;25;Directed;1106;2;512
25;230;Directed;1107;2;512
230;146;Directed;1108;2;512
146;142;Directed;1109;2;512
142;122;Directed;1110;2;512
122;203;Directed;1111;2;512
203;201;Directed;1112;2;512
201;93;Directed;1113;2;512
93;227;Directed;1114;2;512
227;229;Directed;1115;2;512
229;194;Directed;1116;2;419
194;41;Directed;1117;2;419
41;42;Directed;1118;2;419
42;201;Directed;1119;2;419
201;203;Directed;1120;2;419
203;142;Directed;1121;2;419
142;146;Directed;1122;2;419
146;230;Directed;1123;2;419
230;25;Directed;1124;2;419
25;17;Directed;1125;2;419
17;23;Directed;1126;2;419
23;21;Directed;1127;2;419
21;187;Directed;1128;2;419
187;165;Directed;1129;2;419
229;194;Directed;1130;2B;93
194;41;Directed;1131;2B;93
41;42;Directed;1132;2B;93
42;201;Directed;1133;2B;93
201;203;Directed;1134;2B;93
203;142;Directed;1135;2B;93
142;146;Directed;1136;2B;93
146;230;Directed;1137;2B;93
230;25;Directed;1138;2B;93
25;17;Directed;1139;2B;93
17;23;Directed;1140;2B;93
23;214;Directed;1141;2B;93
214;224;Directed;1142;2B;93
224;66;Directed;1143;2B;93
66;183;Directed;1144;2B;93
183;176;Directed;1145;2B;93
176;43;Directed;1146;2B;93
43;152;Directed;1147;2B;93
152;225;Directed;1148;2B;93
225;214;Directed;1149;2B;93
214;21;Directed;1150;2B;93
21;187;Directed;1151;2B;93
187;165;Directed;1152;2B;93
165;214;Directed;1153;5;105
214;167;Directed;1154;5;105
167;24;Directed;1155;5;105
24;142;Directed;1156;5;105
142;185;Directed;1157;5;105
185;186;Directed;1158;5;105
186;180;Directed;1159;5;105
180;184;Directed;1160;5;105
184;108;Directed;1161;5;105
108;96;Directed;1162;5;105
96;107;Directed;1163;5;105
107;96;Directed;1164;5;175
96;108;Directed;1165;5;175
108;184;Directed;1166;5;175
184;180;Directed;1167;5;175
180;186;Directed;1168;5;175
186;185;Directed;1169;5;175
185;142;Directed;1170;5;175
142;24;Directed;1171;5;175
24;167;Directed;1172;5;175
167;21;Directed;1173;5;175
21;187;Directed;1174;5;175
187;165;Directed;1175;5;175
165;214;Directed;1176;5B;30
214;167;Directed;1177;5B;30
167;24;Directed;1178;5B;30
24;142;Directed;1179;5B;30
142;185;Directed;1180;5B;30
185;186;Directed;1181;5B;30
186;180;Directed;1182;5B;30
180;163;Directed;1183;5B;30
163;162;Directed;1184;5B;30
162;163;Directed;1185;5B;30
163;184;Directed;1186;5B;30
184;1;Directed;1187;5B;30
1;108;Directed;1188;5B;30
108;96;Directed;1189;5B;30
96;107;Directed;1190;5B;30
165;214;Directed;1191;5R;30
214;167;Directed;1192;5R;30
167;24;Directed;1193;5R;30
24;142;Directed;1194;5R;30
142;185;Directed;1195;5R;30
185;186;Directed;1196;5R;30
186;180;Directed;1197;5R;30
180;163;Directed;1198;5R;30
163;162;Directed;1199;5R;30
162;163;Directed;1200;5R;30
163;184;Directed;1201;5R;30
184;108;Directed;1202;5R;30
108;96;Directed;1203;5R;30
96;107;Directed;1204;5R;30
170;90;Directed;1205;6;180
90;49;Directed;1206;6;180
49;64;Directed;1207;6;180
64;155;Directed;1208;6;180
155;38;Directed;1209;6;180
38;183;Directed;1210;6;180
183;97;Directed;1211;6;180
97;39;Directed;1212;6;180
