Id;Label;Weight
1;82-es ut, Agroker;30
2;83-as ut, gyirmoti elagazas;320
3;83-as ut, horgaszto;90
4;83-as ut, Szentlelek templom;780
5;83-as ut, TESCO aruhaz;1630
6;Aba Samuel u.;620
7;aTI raktar;1250
8;AUDI Arena Gyor;270
9;AUDi gyar, 4-es porta;615
10;AUDi gyar, 5-os porta, korforgalom;200
11;AUDi gyar, 5-os porta, parkolo;375
12;AUDi gyar, 7-es porta;200
13;AUDi gyar, 8-es porta;440
14;AUDi gyar, 9-es porta;440
15;AUDI gyar, 10-es porta (Honvedseg);440
16;AUDI gyar fobejarat;615
17;Autobusz-allomas + Eszperanto ut, autobusz-allomas + Hunyadi u., autobusz-allomas;2144
18;Bacsa, Ergenyi lakotelep, Telek u.;885
19;Bacsa, posta;885
20;Bacsai ut, Kertesz u.;765
21;Baross Gabor hid, belvarosi hidfo;1951
22;Baross Gabor ut, Szigethy A. ut;836
23;Bartok Bela ut, munkaugyi kozpont + Bartok Bela ut, Kristaly etterem;2370
24;Bartok Bela ut, vasarcsarnok;2119
25;Bem ter, Baross Gabor iskola + Zrinyi u., Bem ter;1544
26;Buda u.;231
27;Budai ut, arkad uzlethaz + Fehervari ut, arkad uzlethaz + 14-es ut, arkad uzlethaz;3388
28;Budai ut, szeszgyar;1050
29;Budai Nagy Antal u.;555
30;Chio sutouzem;810
31;Csanakhegyi ut;90
32;Csanaki u.;280
33;Decathlon aruhaz;1100
34;Deryne ut, mozi;260
35;Dohany u., Kenved Kft.;175
36;Dombhat u.;765
37;Dozsa major;810
38;Duna u.;330
39;Dunakapu ter;660
40;Dunapart Rezidencia;660
41;Erfurt ut 40.;512
42;Erfurt ut, Jerevani ut;512
43;Erkel Ferenc u.;1424
44;Fehervari ut, Ipar u.;928
45;Fehervari ut, Vagohid u.;1708
46;Fehervari ut, Zold u.;548
47;Fo u.;270
48;Foldes Gabor u.;540
49;Galantai ut, Ciklamen u.;330
50;Gat u.;885
51;Gerence ut, aluljaro;1770
52;Gerence ut, Orgona utca;120
53;Gerence ut, PaGISZ aMK;1489
54;Gyarvaros, vasuti megallohely;1010
55;Gyirmot, kozpont;390
56;Gyirmot, Papreti ut;390
57;Gyori ut, iskola;550
58;Gyorszentivan, Homoksor, Napos ut;280
59;Gyorszentivan, Kalman Imre ut;610
60;Gyorszentivan, reszonkormanyzat;610
61;Gyozelem u. 94.;90
62;Gyozelem u., iskola;90
63;Hecsepuszta;985
64;Hedervari ut, Zempleni u.;330
65;Herics u.;810
66;Hid u., Raba Quelle furdo;1606
67;Hold u.;520
68;Honvedseg, fokapu;80
69;Ifjusag krt 49.;931
70;Ifjusag krt, Foldes Gabor u.;931
71;Ifjusag krt., Kodaly Zoltan u.;956
72;Illyes Gyula u., sporttelep;520
73;Ipar u., ETO Park;215
74;Ipar u., Kiskuti ut;1310
75;Ipar u., Nagysandor Jozsef u.;1040
76;Ipar u., Puskas Tivadar u.;1280
77;Ipar u., Volan-telep;1560
78;Ipari Park, Almafa u., Czompa Kft.;400
79;Ipari Park, Csorgofa sor;400
80;Ipari Park,E.ON Zrt.;120
81;Ipari Park, Gyori Keksz Kft.;280
82;Ipari Park, Innonet kozpont;400
83;Ipari Park, Korisfa utca;120
84;Ipari Park, Kortefa u., Doka Kft.;280
85;Ipari Park, MAN Kft.;400
86;Ipari Park, Propex Kft.;400
87;Ipari Park, Szinflex Plus Kft.;120
88;Ipari Park, VT Mechatronics Kft.;280
89;Irinyi Janos u.;765
90;irisz u.;330
91;ives u.;440
92;Jerevani ut, Jozsef Attila u.;1008
93;Jerevani ut, posta;1620
94;Jogar u.;360
95;Kakashegy u.;708
96;Kalasz u.;640
97;Kaloczy ter;480
98;Kalvaria u., Iskola;260
99;Kando u., IGM Kft.;1010
100;Kardan u., AUDI gyar, 3-as porta;615
101;Katod u.;850
102;Kereszt u.;270
103;Kert u. + Kalvaria u., Kert u.;520
104;Kisbacsa, korforgalom;120
105;Kisbacsa, templom;765
106;Kiskuti ut;270
107;Kismegyer, Arato u., Major u.;640
108;Kismegyer, korforgalom;640
109;Kismezo u.;885
110;Kodaly Zoltan u., Foldes Gabor u.;2449
111;Kodaly Zoltan u., gyogyszertar;1329
112;Kossuth Lajos u., Kispiac;555
113;Kor ter;610
114;Kortoltes u., (AUDI iskola);765
115;Kovecses u.;270
116;Lajta ut, gyogyszertar;3049
117;Lajta ut, posta;3049
118;Liget u., Festo u.;555
119;Liget u., Nyar u.;1805
120;Likocs, Pesti ut, Esztergeto u.;270
121;Likocsi hid;445
122;Magyar u., korhaz;512
123;Magyar Vilmos uszoda;270
124;Malom liget;1794
125;Marcalvaros, Kovacs Margit u.;3689
126;Martirok utja;40
127;Matyas kiraly ter;1225
128;Mecs Laszlo utca, aluljaro;520
129;Menfocsanak, Gyori ut, korforgalom;550
130;Menfocsanak, Gyozelem u., ujkut u.;90
131;Menfocsanak, Hegyalja u., ujkut u.;280
132;Menfocsanak, Kiralyszek ut;1540
133;Menfocsanak, malom;920
134;Menfocsanak, orvosi rendelo;280
135;Menfocsanak, Sokoropatkai ut;160
136;Menfocsanak, vasuti megallo;480
137;Menfocsanak, vendeglo;710
138;Menfocsanak, Veres Peter TSZ;160
139;Menfoi ut;390
140;Mester u.;651
141;Meszaros Lorinc u., kollegium;651
142;Monus Illes u., Szent Imre ut + Magyar u., Szent Imre ut + Szent Imre ut, Magyar u.;1664
143;Nador aluljaro;890
144;Nador ter;30
145;Nadorvarosi koztemeto;750
