Source;Target;Type;Id;label;Weight
227;193;Directed;1000;1V;2354
193;194;Directed;1001;1V;2354
194;208;Directed;1002;1V;2354
208;247;Directed;1003;1V;2354
247;238;Directed;1004;1V;2354
238;150;Directed;1005;1V;2354
150;202;Directed;1006;1V;2354
202;224;Directed;1007;1V;2354
224;20;Directed;1008;1V;2354
20;93;Directed;1009;1V;2354
93;115;Directed;1010;1V;2354
115;231;Directed;1011;1V;2354
231;232;Directed;1012;1V;2354
232;65;Directed;1013;1V;2354
65;40;Directed;1014;1V;2354
40;58;Directed;1015;1V;2354
58;135;Directed;1016;1V;2354
135;255;Directed;1017;1V;2354
255;57;Directed;1018;1V;2354
57;38;Directed;1019;1V;2354
38;5;Directed;1020;1V;2354
5;82;Directed;1021;1V;2354
82;5;Directed;1022;1V;2140
5;38;Directed;1023;1V;2140
38;57;Directed;1024;1V;2140
57;255;Directed;1025;1V;2140
255;135;Directed;1026;1V;2140
135;58;Directed;1027;1V;2140
58;40;Directed;1028;1V;2140
40;65;Directed;1029;1V;2140
65;232;Directed;1030;1V;2140
232;231;Directed;1031;1V;2140
231;115;Directed;1032;1V;2140
115;93;Directed;1033;1V;2140
93;20;Directed;1034;1V;2140
20;224;Directed;1035;1V;2140
224;202;Directed;1036;1V;2140
202;150;Directed;1037;1V;2140
150;238;Directed;1038;1V;2140
238;247;Directed;1039;1V;2140
247;208;Directed;1040;1V;2140
208;194;Directed;1041;1V;2140
194;193;Directed;1042;1V;2140
193;227;Directed;1043;1V;2140
227;193;Directed;1044;2V;2354
193;194;Directed;1045;2V;2354
194;208;Directed;1046;2V;2354
208;247;Directed;1047;2V;2354
247;238;Directed;1048;2V;2354
238;150;Directed;1049;2V;2354
150;202;Directed;1050;2V;2354
202;224;Directed;1051;2V;2354
224;20;Directed;1052;2V;2354
20;93;Directed;1053;2V;2354
93;115;Directed;1054;2V;2354
115;231;Directed;1055;2V;2354
231;232;Directed;1056;2V;2354
232;240;Directed;1057;2V;2354
240;239;Directed;1058;2V;2354
239;231;Directed;1059;2V;2247
231;115;Directed;1060;2V;2247
115;93;Directed;1061;2V;2247
93;20;Directed;1062;2V;2247
20;224;Directed;1063;2V;2247
224;202;Directed;1064;2V;2247
202;150;Directed;1065;2V;2247
150;238;Directed;1066;2V;2247
238;247;Directed;1067;2V;2247
247;208;Directed;1068;2V;2247
208;194;Directed;1069;2V;2247
194;193;Directed;1070;2V;2247
193;227;Directed;1071;2V;2247
227;234;Directed;1072;1;450
234;25;Directed;1073;1;450
25;42;Directed;1074;1;450
42;200;Directed;1075;1;450
200;180;Directed;1076;1;450
180;63;Directed;1077;1;450
63;250;Directed;1078;1;450
250;202;Directed;1079;1;450
202;1;Directed;1080;1;450
1;256;Directed;1081;1;450
256;173;Directed;1082;1;450
173;12;Directed;1083;1;450
12;231;Directed;1084;1;450
231;232;Directed;1085;1;450
232;40;Directed;1086;1;450
40;58;Directed;1087;1;450
58;215;Directed;1088;1;450
215;57;Directed;1089;1;450
57;5;Directed;1090;1;450
5;82;Directed;1091;1;450
82;103;Directed;1092;1;450
103;175;Directed;1093;1;450
175;148;Directed;1094;1;450
148;175;Directed;1095;1;450
175;103;Directed;1096;1;450
103;82;Directed;1097;1;450
82;5;Directed;1098;1;450
5;57;Directed;1099;1;450
57;215;Directed;1100;1;450
215;135;Directed;1101;1;450
135;58;Directed;1102;1;450
58;40;Directed;1103;1;450
40;232;Directed;1104;1;450
