Source;Target;Type;Id;Label;Weight
242;175;Directed;1000;1;700
175;154;Directed;1001;1;700
154;136;Directed;1002;1;700
136;186;Directed;1003;1;700
186;158;Directed;1004;1;700
158;70;Directed;1005;1;700
70;247;Directed;1006;1;700
247;169;Directed;1007;1;700
169;203;Directed;1008;1;700
203;138;Directed;1009;1;700
138;135;Directed;1010;1;700
135;4;Directed;1011;1;700
4;229;Directed;1012;1;700
229;53;Directed;1013;1;700
53;245;Directed;1014;1;700
245;203;Directed;1015;1;700
203;169;Directed;1016;1;700
169;247;Directed;1017;1;700
247;70;Directed;1018;1;700
70;158;Directed;1019;1;700
158;186;Directed;1020;1;700
186;136;Directed;1021;1;700
136;154;Directed;1022;1;700
154;175;Directed;1023;1;700
175;242;Directed;1024;1;700
242;175;Directed;1025;2;400
175;154;Directed;1026;2;400
154;136;Directed;1027;2;400
136;240;Directed;1028;2;400
240;64;Directed;1029;2;400
64;187;Directed;1030;2;400
187;127;Directed;1031;2;400
127;256;Directed;1032;2;400
256;15;Directed;1033;2;400
15;45;Directed;1034;2;400
45;255;Directed;1035;2;400
255;164;Directed;1036;2;400
164;83;Directed;1037;2;400
83;43;Directed;1038;2;400
43;44;Directed;1039;2;400
44;162;Directed;1040;2;400
162;132;Directed;1041;2;400
132;161;Directed;1042;2;400
161;73;Directed;1043;2;400
73;16;Directed;1044;2;400
16;224;Directed;1045;2;400
224;156;Directed;1046;2;400
156;224;Directed;1047;2;400
224;16;Directed;1048;2;400
16;73;Directed;1049;2;400
73;161;Directed;1050;2;400
161;132;Directed;1051;2;400
132;162;Directed;1052;2;400
162;44;Directed;1053;2;400
44;43;Directed;1054;2;400
43;83;Directed;1055;2;400
83;164;Directed;1056;2;400
164;255;Directed;1057;2;400
255;45;Directed;1058;2;400
45;15;Directed;1059;2;400
15;256;Directed;1060;2;400
256;127;Directed;1061;2;400
127;187;Directed;1062;2;400
187;222;Directed;1063;2;400
222;64;Directed;1064;2;400
64;240;Directed;1065;2;400
240;136;Directed;1066;2;400
136;154;Directed;1067;2;400
154;175;Directed;1068;2;400
175;242;Directed;1069;2;400
242;175;Directed;1070;2A;432
175;154;Directed;1071;2A;432
154;136;Directed;1072;2A;432
136;240;Directed;1073;2A;432
240;64;Directed;1074;2A;432
64;187;Directed;1075;2A;432
187;127;Directed;1076;2A;432
127;256;Directed;1077;2A;432
256;15;Directed;1078;2A;432
15;45;Directed;1079;2A;432
45;255;Directed;1080;2A;432
255;164;Directed;1081;2A;432
164;83;Directed;1082;2A;432
83;43;Directed;1083;2A;432
43;44;Directed;1084;2A;432
44;162;Directed;1085;2A;432
162;132;Directed;1086;2A;432
132;161;Directed;1087;2A;432
161;73;Directed;1088;2A;432
73;161;Directed;1089;2A;500
161;132;Directed;1090;2A;500
132;162;Directed;1091;2A;500
162;44;Directed;1092;2A;500
44;43;Directed;1093;2A;500
43;83;Directed;1094;2A;500
83;164;Directed;1095;2A;500
164;255;Directed;1096;2A;500
255;45;Directed;1097;2A;500
45;15;Directed;1098;2A;500
15;256;Directed;1099;2A;500
256;127;Directed;1100;2A;500
127;187;Directed;1101;2A;500
187;222;Directed;1102;2A;500
222;64;Directed;1103;2A;500
64;240;Directed;1104;2A;500
240;136;Directed;1105;2A;500
136;154;Directed;1106;2A;500
154;175;Directed;1107;2A;500
175;242;Directed;1108;2A;500
120;53;Directed;1109;3;700
53;245;Directed;1110;3;700
245;203;Directed;1111;3;700
203;169;Directed;1112;3;700
169;39;Directed;1113;3;700
39;36;Directed;1114;3;700
36;14;Directed;1115;3;700
14;227;Directed;1116;3;700
227;42;Directed;1117;3;700
42;104;Directed;1118;3;700
104;77;Directed;1119;3;700
77;256;Directed;1120;3;700
256;15;Directed;1121;3;700
15;21;Directed;1122;3;700
21;42;Directed;1123;3;700
42;227;Directed;1124;3;700
227;14;Directed;1125;3;700
14;36;Directed;1126;3;700
36;39;Directed;1127;3;700
39;203;Directed;1128;3;700
203;138;Directed;1129;3;700
138;245;Directed;1130;3;700
245;53;Directed;1131;3;700
53;120;Directed;1132;3;700
242;175;Directed;1133;4;201
175;154;Directed;1134;4;201
154;226;Directed;1135;4;201
226;158;Directed;1136;4;201
158;160;Directed;1137;4;201
160;116;Directed;1138;4;201
116;199;Directed;1139;4;201
199;77;Directed;1140;4;201
77;246;Directed;1141;4;201
246;15;Directed;1142;4;201
15;45;Directed;1143;4;201
45;255;Directed;1144;4;201
255;164;Directed;1145;4;201
164;83;Directed;1146;4;201
83;43;Directed;1147;4;201
43;44;Directed;1148;4;201
44;162;Directed;1149;4;201
162;132;Directed;1150;4;201
132;161;Directed;1151;4;201
161;73;Directed;1152;4;201
73;24;Directed;1153;4;201
24;100;Directed;1154;4;201
100;97;Directed;1155;4;201
97;100;Directed;1156;4;240
100;24;Directed;1157;4;240
24;73;Directed;1158;4;240
73;161;Directed;1159;4;240
161;132;Directed;1160;4;240
132;162;Directed;1161;4;240
162;44;Directed;1162;4;240
44;43;Directed;1163;4;240
43;83;Directed;1164;4;240
83;164;Directed;1165;4;240
164;255;Directed;1166;4;240
255;45;Directed;1167;4;240
45;15;Directed;1168;4;240
15;246;Directed;1169;4;240
246;77;Directed;1170;4;240
77;199;Directed;1171;4;240
199;116;Directed;1172;4;240
116;211;Directed;1173;4;240
211;158;Directed;1174;4;240
158;226;Directed;1175;4;240
226;154;Directed;1176;4;240
154;175;Directed;1177;4;240
175;242;Directed;1178;4;240
242;175;Directed;1179;4Arp;30
175;154;Directed;1180;4Arp;30
154;226;Directed;1181;4Arp;30
226;158;Directed;1182;4Arp;30
158;160;Directed;1183;4Arp;30
160;116;Directed;1184;4Arp;30
