Source;Target;Type;Id;label;Weight
189;76;Directed;1000;1;162
76;27;Directed;1001;1;162
27;9;Directed;1002;1;162
9;180;Directed;1003;1;162
180;198;Directed;1004;1;162
198;7;Directed;1005;1;162
7;173;Directed;1006;1;162
173;214;Directed;1007;1;162
214;49;Directed;1008;1;162
49;234;Directed;1009;1;162
234;201;Directed;1010;1;162
201;171;Directed;1011;1;162
171;201;Directed;1012;1;162
201;234;Directed;1013;1;162
234;49;Directed;1014;1;162
49;214;Directed;1015;1;162
214;173;Directed;1016;1;162
173;7;Directed;1017;1;162
7;198;Directed;1018;1;162
198;180;Directed;1019;1;162
180;9;Directed;1020;1;162
9;27;Directed;1021;1;162
27;24;Directed;1022;1;162
24;189;Directed;1023;1;162
189;76;Directed;1024;2;1122
76;27;Directed;1025;2;1122
27;9;Directed;1026;2;1122
9;180;Directed;1027;2;1122
180;198;Directed;1028;2;1122
198;7;Directed;1029;2;1122
7;173;Directed;1030;2;1122
173;214;Directed;1031;2;1122
214;49;Directed;1032;2;1122
49;234;Directed;1033;2;1122
234;188;Directed;1034;2;1122
188;174;Directed;1035;2;1122
174;172;Directed;1036;2;1122
172;237;Directed;1037;2;1122
237;143;Directed;1038;2;1122
143;237;Directed;1039;2;1590
237;172;Directed;1040;2;1590
172;174;Directed;1041;2;1590
174;188;Directed;1042;2;1590
188;234;Directed;1043;2;1590
234;49;Directed;1044;2;1590
49;214;Directed;1045;2;1590
214;173;Directed;1046;2;1590
173;7;Directed;1047;2;1590
7;198;Directed;1048;2;1590
198;180;Directed;1049;2;1590
180;9;Directed;1050;2;1590
9;27;Directed;1051;2;1590
27;24;Directed;1052;2;1590
24;189;Directed;1053;2;1590
211;33;Directed;1054;3;375
33;51;Directed;1055;3;375
51;169;Directed;1056;3;375
169;112;Directed;1057;3;375
112;50;Directed;1058;3;375
50;193;Directed;1059;3;375
193;79;Directed;1060;3;375
79;7;Directed;1061;3;375
7;35;Directed;1062;3;375
35;60;Directed;1063;3;375
60;140;Directed;1064;3;375
140;236;Directed;1065;3;375
236;111;Directed;1066;3;375
111;100;Directed;1067;3;375
100;228;Directed;1068;3;375
228;100;Directed;1069;3;438
100;111;Directed;1070;3;438
111;236;Directed;1071;3;438
236;140;Directed;1072;3;438
140;60;Directed;1073;3;438
60;35;Directed;1074;3;438
35;7;Directed;1075;3;438
7;79;Directed;1076;3;438
79;193;Directed;1077;3;438
193;50;Directed;1078;3;438
50;112;Directed;1079;3;438
112;169;Directed;1080;3;438
169;51;Directed;1081;3;438
51;33;Directed;1082;3;438
33;211;Directed;1083;3;438
211;33;Directed;1084;3F;313
33;51;Directed;1085;3F;313
51;169;Directed;1086;3F;313
169;112;Directed;1087;3F;313
112;50;Directed;1088;3F;313
50;193;Directed;1089;3F;313
193;79;Directed;1090;3F;313
79;7;Directed;1091;3F;313
7;35;Directed;1092;3F;313
35;60;Directed;1093;3F;313
60;140;Directed;1094;3F;313
140;236;Directed;1095;3F;313
236;111;Directed;1096;3F;313
111;100;Directed;1097;3F;313
100;228;Directed;1098;3F;313
228;22;Directed;1099;3F;313
22;23;Directed;1100;3F;313
23;117;Directed;1101;3F;313
117;71;Directed;1102;3F;313
71;117;Directed;1103;3F;188
117;23;Directed;1104;3F;188
23;22;Directed;1105;3F;188
22;228;Directed;1106;3F;188
228;100;Directed;1107;3F;188
100;111;Directed;1108;3F;188
111;236;Directed;1109;3F;188
236;140;Directed;1110;3F;188
140;60;Directed;1111;3F;188
60;35;Directed;1112;3F;188
35;7;Directed;1113;3F;188
7;79;Directed;1114;3F;188
79;193;Directed;1115;3F;188
193;50;Directed;1116;3F;188
50;112;Directed;1117;3F;188
112;169;Directed;1118;3F;188
169;51;Directed;1119;3F;188
51;33;Directed;1120;3F;188
33;211;Directed;1121;3F;188
211;33;Directed;1122;4;850
33;51;Directed;1123;4;850
51;169;Directed;1124;4;850
169;112;Directed;1125;4;850
112;50;Directed;1126;4;850
50;193;Directed;1127;4;850
193;79;Directed;1128;4;850
79;7;Directed;1129;4;850
7;35;Directed;1130;4;850
35;60;Directed;1131;4;850
60;239;Directed;1132;4;850
239;202;Directed;1133;4;850
202;163;Directed;1134;4;850
163;183;Directed;1135;4;850
183;186;Directed;1136;4;850
186;113;Directed;1137;4;850
113;186;Directed;1138;4;765
186;183;Directed;1139;4;765
183;163;Directed;1140;4;765
163;202;Directed;1141;4;765
202;239;Directed;1142;4;765
239;60;Directed;1143;4;765
60;35;Directed;1144;4;765
35;7;Directed;1145;4;765
7;79;Directed;1146;4;765
79;193;Directed;1147;4;765
193;50;Directed;1148;4;765
50;112;Directed;1149;4;765
112;169;Directed;1150;4;765
169;51;Directed;1151;4;765
51;33;Directed;1152;4;765
33;211;Directed;1153;4;765
87;40;Directed;1154;5;490
40;220;Directed;1155;5;490
220;198;Directed;1156;5;490
198;35;Directed;1157;5;490
35;146;Directed;1158;5;490
146;94;Directed;1159;5;490
94;25;Directed;1160;5;490
25;176;Directed;1161;5;490
176;56;Directed;1162;5;490
56;143;Directed;1163;5;490
143;237;Directed;1164;5;490
237;172;Directed;1165;5;490
172;135;Directed;1166;5;490
135;174;Directed;1167;5;525
174;172;Directed;1168;5;525
172;237;Directed;1169;5;525
237;143;Directed;1170;5;525
143;56;Directed;1171;5;525
56;176;Directed;1172;5;525
176;25;Directed;1173;5;525
25;94;Directed;1174;5;525
94;146;Directed;1175;5;525
146;20;Directed;1176;5;525
20;198;Directed;1177;5;525
198;220;Directed;1178;5;525
220;40;Directed;1179;5;525
40;87;Directed;1180;5;525
87;40;Directed;1181;7;180
40;220;Directed;1182;7;180
220;198;Directed;1183;7;180
198;35;Directed;1184;7;180
35;146;Directed;1185;7;180
146;139;Directed;1186;7;180
139;98;Directed;1187;7;180
98;148;Directed;1188;7;180
148;233;Directed;1189;7;180
233;16;Directed;1190;7;180
16;233;Directed;1191;7;180
233;148;Directed;1192;7;180
148;98;Directed;1193;7;180
98;139;Directed;1194;7;180
139;146;Directed;1195;7;180
146;20;Directed;1196;7;180
20;198;Directed;1197;7;180
198;220;Directed;1198;7;180
220;40;Directed;1199;7;180
40;87;Directed;1200;7;180
146;214;Directed;1201;7F;100
214;49;Directed;1202;7F;100
49;171;Directed;1203;7F;100
171;71;Directed;1204;7F;100
71;34;Directed;1205;7F;100
34;130;Directed;1206;7F;100
130;124;Directed;1207;7F;100
124;213;Directed;1208;7F;100
213;42;Directed;1209;7F;100
42;144;Directed;1210;7F;100
144;121;Directed;1211;7F;100
121;32;Directed;1212;7F;100
32;199;Directed;1213;7F;100
199;47;Directed;1214;7F;100
47;182;Directed;1215;7F;100
182;123;Directed;1216;7F;100
123;182;Directed;1217;7F;200
182;47;Directed;1218;7F;200
47;199;Directed;1219;7F;200
199;32;Directed;1220;7F;200
32;121;Directed;1221;7F;200
121;144;Directed;1222;7F;200
144;42;Directed;1223;7F;200
42;213;Directed;1224;7F;200
213;124;Directed;1225;7F;200
124;130;Directed;1226;7F;200
130;34;Directed;1227;7F;200
34;71;Directed;1228;7F;200
71;171;Directed;1229;7F;200
171;234;Directed;1230;7F;200
234;49;Directed;1231;7F;200
49;214;Directed;1232;7F;200
214;146;Directed;1233;7F;200
142;78;Directed;1234;8;750
78;157;Directed;1235;8;750
157;143;Directed;1236;8;750
143;56;Directed;1237;8;750
56;176;Directed;1238;8;750
176;25;Directed;1239;8;750
25;194;Directed;1240;8;750
194;7;Directed;1241;8;750
7;35;Directed;1242;8;750
35;60;Directed;1243;8;750
60;97;Directed;1244;8;750
97;9;Directed;1245;8;750
9;128;Directed;1246;8;750
128;9;Directed;1247;8;650
9;60;Directed;1248;8;650
60;35;Directed;1249;8;650
35;7;Directed;1250;8;650
7;194;Directed;1251;8;650
194;25;Directed;1252;8;650
25;176;Directed;1253;8;650
176;56;Directed;1254;8;650
56;143;Directed;1255;8;650
143;157;Directed;1256;8;650
157;78;Directed;1257;8;650
78;142;Directed;1258;8;650
238;237;Directed;1259;9;500
237;143;Directed;1260;9;500
143;56;Directed;1261;9;500
56;176;Directed;1262;9;500
176;25;Directed;1263;9;500
25;94;Directed;1264;9;500
94;146;Directed;1265;9;500
146;20;Directed;1266;9;500
20;198;Directed;1267;9;500
198;149;Directed;1268;9;500
149;58;Directed;1269;9;500
58;79;Directed;1270;9;500
79;93;Directed;1271;9;500
93;209;Directed;1272;9;500
209;66;Directed;1273;9;500
66;64;Directed;1274;9;500
64;38;Directed;1275;9;500
38;46;Directed;1276;9;500
46;141;Directed;1277;9;500
141;46;Directed;1278;9;450
46;38;Directed;1279;9;450
38;64;Directed;1280;9;450
64;66;Directed;1281;9;450
66;209;Directed;1282;9;450
209;93;Directed;1283;9;450
93;79;Directed;1284;9;450
79;58;Directed;1285;9;450
58;198;Directed;1286;9;450
198;35;Directed;1287;9;450
35;146;Directed;1288;9;450
146;94;Directed;1289;9;450
94;25;Directed;1290;9;450
25;176;Directed;1291;9;450
176;56;Directed;1292;9;450
56;143;Directed;1293;9;450
143;238;Directed;1294;9;450
212;46;Directed;1295;10;750
46;68;Directed;1296;10;750
68;175;Directed;1297;10;750
175;50;Directed;1298;10;750
50;25;Directed;1299;10;750
25;194;Directed;1300;10;750
194;7;Directed;1301;10;750
7;35;Directed;1302;10;750
35;60;Directed;1303;10;750
60;97;Directed;1304;10;750
97;9;Directed;1305;10;750
9;128;Directed;1306;10;750
128;9;Directed;1307;10;700
9;60;Directed;1308;10;700
60;35;Directed;1309;10;700
35;7;Directed;1310;10;700
7;194;Directed;1311;10;700
194;25;Directed;1312;10;700
25;50;Directed;1313;10;700
50;175;Directed;1314;10;700
175;68;Directed;1315;10;700
68;46;Directed;1316;10;700
46;212;Directed;1317;10;700
212;46;Directed;1318;11;222
46;68;Directed;1319;11;222
68;175;Directed;1320;11;222
175;50;Directed;1321;11;222
50;25;Directed;1322;11;222
25;94;Directed;1323;11;222
94;146;Directed;1324;11;222
146;140;Directed;1325;11;222
140;202;Directed;1326;11;222
202;28;Directed;1327;11;222
28;192;Directed;1328;11;222
192;189;Directed;1329;11;222
189;192;Directed;1330;11;222
192;28;Directed;1331;11;222
28;202;Directed;1332;11;222
202;140;Directed;1333;11;222
140;146;Directed;1334;11;222
146;94;Directed;1335;11;222
94;25;Directed;1336;11;222
25;50;Directed;1337;11;222
50;175;Directed;1338;11;222
175;68;Directed;1339;11;222
68;46;Directed;1340;11;222
46;212;Directed;1341;11;222
212;33;Directed;1342;13;222
33;51;Directed;1343;13;222
51;169;Directed;1344;13;222
169;50;Directed;1345;13;222
50;25;Directed;1346;13;222
25;94;Directed;1347;13;222
94;146;Directed;1348;13;222
146;139;Directed;1349;13;222
139;98;Directed;1350;13;222
98;148;Directed;1351;13;222
148;219;Directed;1352;13;222
219;110;Directed;1353;13;222
110;100;Directed;1354;13;222
100;111;Directed;1355;13;222
111;4;Directed;1356;13;222
4;89;Directed;1357;13;222
89;200;Directed;1358;13;222
200;44;Directed;1359;13;222
44;147;Directed;1360;13;222
147;44;Directed;1361;13;222
44;80;Directed;1362;13;222
80;131;Directed;1363;13;222
131;200;Directed;1364;13;222
200;89;Directed;1365;13;222
89;4;Directed;1366;13;222
4;111;Directed;1367;13;222
111;100;Directed;1368;13;222
100;110;Directed;1369;13;222
110;219;Directed;1370;13;222
219;233;Directed;1371;13;222
233;148;Directed;1372;13;222
148;98;Directed;1373;13;222
98;139;Directed;1374;13;222
139;146;Directed;1375;13;222
146;94;Directed;1376;13;222
94;25;Directed;1377;13;222
25;50;Directed;1378;13;222
50;169;Directed;1379;13;222
169;51;Directed;1380;13;222
51;33;Directed;1381;13;222
33;212;Directed;1382;13;222
142;78;Directed;1383;19;500
78;157;Directed;1384;19;500
157;143;Directed;1385;19;500
143;56;Directed;1386;19;500
56;176;Directed;1387;19;500
176;25;Directed;1388;19;500
25;94;Directed;1389;19;500
94;146;Directed;1390;19;500
146;20;Directed;1391;19;500
20;198;Directed;1392;19;500
198;149;Directed;1393;19;500
149;58;Directed;1394;19;500
58;79;Directed;1395;19;500
79;93;Directed;1396;19;500
93;209;Directed;1397;19;500
209;66;Directed;1398;19;500
66;64;Directed;1399;19;500
64;38;Directed;1400;19;500
38;46;Directed;1401;19;500
46;212;Directed;1402;19;500
212;46;Directed;1403;19;400
46;38;Directed;1404;19;400
38;64;Directed;1405;19;400
64;66;Directed;1406;19;400
66;209;Directed;1407;19;400
209;93;Directed;1408;19;400
93;79;Directed;1409;19;400
79;58;Directed;1410;19;400
58;198;Directed;1411;19;400
198;35;Directed;1412;19;400
35;146;Directed;1413;19;400
146;94;Directed;1414;19;400
94;25;Directed;1415;19;400
25;176;Directed;1416;19;400
176;56;Directed;1417;19;400
56;143;Directed;1418;19;400
143;157;Directed;1419;19;400
157;78;Directed;1420;19;400
78;142;Directed;1421;19;400
159;41;Directed;1422;20;285
41;46;Directed;1423;20;285
46;187;Directed;1424;20;285
187;169;Directed;1425;20;285
169;50;Directed;1426;20;285
50;79;Directed;1427;20;285
79;7;Directed;1428;20;285
7;35;Directed;1429;20;285
35;60;Directed;1430;20;285
60;97;Directed;1431;20;285
97;9;Directed;1432;20;285
9;28;Directed;1433;20;285
28;192;Directed;1434;20;285
192;189;Directed;1435;20;285
189;184;Directed;1436;20;285
184;48;Directed;1437;20;285
48;185;Directed;1438;20;285
185;229;Directed;1439;20;285
229;230;Directed;1440;20;285
230;229;Directed;1441;20;270
229;185;Directed;1442;20;270
185;48;Directed;1443;20;270
48;184;Directed;1444;20;270
184;189;Directed;1445;20;270
189;192;Directed;1446;20;270
192;28;Directed;1447;20;270
28;9;Directed;1448;20;270
9;60;Directed;1449;20;270
60;35;Directed;1450;20;270
35;7;Directed;1451;20;270
7;79;Directed;1452;20;270
79;50;Directed;1453;20;270
50;169;Directed;1454;20;270
169;187;Directed;1455;20;270
187;46;Directed;1456;20;270
46;41;Directed;1457;20;270
41;159;Directed;1458;20;270
159;41;Directed;1459;20A;180
41;46;Directed;1460;20A;180
46;187;Directed;1461;20A;180
187;169;Directed;1462;20A;180
169;50;Directed;1463;20A;180
50;79;Directed;1464;20A;180
79;7;Directed;1465;20A;180
7;35;Directed;1466;20A;180
35;60;Directed;1467;20A;180
60;97;Directed;1468;20A;180
97;60;Directed;1469;20A;180
60;35;Directed;1470;20A;180
35;7;Directed;1471;20A;180
7;79;Directed;1472;20A;180
79;50;Directed;1473;20A;180
50;169;Directed;1474;20A;180
169;187;Directed;1475;20A;180
187;46;Directed;1476;20A;180
46;41;Directed;1477;20A;180
41;159;Directed;1478;20A;180
225;18;Directed;1479;21;210
18;1;Directed;1480;21;210
1;105;Directed;1481;21;210
105;138;Directed;1482;21;210
138;41;Directed;1483;21;210
41;46;Directed;1484;21;210
46;187;Directed;1485;21;210
187;169;Directed;1486;21;210
169;176;Directed;1487;21;210
176;25;Directed;1488;21;210
25;94;Directed;1489;21;210
94;146;Directed;1490;21;210
146;140;Directed;1491;21;210
140;202;Directed;1492;21;210
202;28;Directed;1493;21;210
28;192;Directed;1494;21;210
192;189;Directed;1495;21;210
189;192;Directed;1496;21;228
192;28;Directed;1497;21;228
28;202;Directed;1498;21;228
202;140;Directed;1499;21;228
140;146;Directed;1500;21;228
146;94;Directed;1501;21;228
94;25;Directed;1502;21;228
25;176;Directed;1503;21;228
176;169;Directed;1504;21;228
169;187;Directed;1505;21;228
187;46;Directed;1506;21;228
46;41;Directed;1507;21;228
41;138;Directed;1508;21;228
138;105;Directed;1509;21;228
105;1;Directed;1510;21;228
1;18;Directed;1511;21;228
18;225;Directed;1512;21;228
97;60;Directed;1513;36;240
60;140;Directed;1514;36;240
140;111;Directed;1515;36;240
111;100;Directed;1516;36;240
100;228;Directed;1517;36;240
228;15;Directed;1518;36;240
15;22;Directed;1519;36;240
22;101;Directed;1520;36;240
101;71;Directed;1521;36;240
71;34;Directed;1522;36;240
34;130;Directed;1523;36;240
130;124;Directed;1524;36;240
124;213;Directed;1525;36;240
213;42;Directed;1526;36;240
42;144;Directed;1527;36;240
144;104;Directed;1528;36;240
104;99;Directed;1529;36;240
99;197;Directed;1530;36;240
197;21;Directed;1531;36;240
21;121;Directed;1532;36;240
121;154;Directed;1533;36;240
154;125;Directed;1534;36;240
125;65;Directed;1535;36;240
65;122;Directed;1536;36;240
122;65;Directed;1537;36;333
65;125;Directed;1538;36;333
125;154;Directed;1539;36;333
154;121;Directed;1540;36;333
121;21;Directed;1541;36;333
21;197;Directed;1542;36;333
197;99;Directed;1543;36;333
99;104;Directed;1544;36;333
104;144;Directed;1545;36;333
144;42;Directed;1546;36;333
42;213;Directed;1547;36;333
213;124;Directed;1548;36;333
124;130;Directed;1549;36;333
130;34;Directed;1550;36;333
34;71;Directed;1551;36;333
71;101;Directed;1552;36;333
101;22;Directed;1553;36;333
22;15;Directed;1554;36;333
15;228;Directed;1555;36;333
228;100;Directed;1556;36;333
100;111;Directed;1557;36;333
111;72;Directed;1558;36;333
72;140;Directed;1559;36;333
140;60;Directed;1560;36;333
60;97;Directed;1561;36;333
146;20;Directed;1562;60;276
20;198;Directed;1563;60;276
198;220;Directed;1564;60;276
220;181;Directed;1565;60;276
181;126;Directed;1566;60;276
126;221;Directed;1567;60;276
221;54;Directed;1568;60;276
54;53;Directed;1569;60;276
53;222;Directed;1570;60;276
222;106;Directed;1571;60;276
106;109;Directed;1572;60;276
109;152;Directed;1573;60;276
152;19;Directed;1574;60;276
19;205;Directed;1575;60;276
205;133;Directed;1576;60;276
133;207;Directed;1577;60;276
207;178;Directed;1578;60;276
178;86;Directed;1579;60;276
86;206;Directed;1580;60;276
206;86;Directed;1581;60;300
