Id;Label;Weight
1;Acel u.;438
2;Agyagos u.;1745
3;Akacfa u.;240
4;Alkony u.;1569
5;Alkotmany u. + Diadal u.;360
6;Also kikoto sor;240
7;Anna-kut;9730
8;Apaly u.;543
9;Aradi Vertanuk tere + SZTK;7475
10;Aranyosi utca;600
11;Artezi kut;800
12;Auchan aruhaz;165
13;arok u.;432
14;Back Bernat u.;365
15;Bajai ut;573
16;Bakay Nandor u.;360
17;Bakto, Volgyerhat u.;360
18;Balaton u.;438
19;Barazda u.;1176
20;Bartok ter;4505
21;Basahid utca;1263
22;Belvarosi temeto;1314
23;Belvarosi temeto II. kapu;501
24;Bem u.;1752
25;Berlini krt. + Gem u. + Tunder u. + Csongradi sgt. (Bercsenyi u.);8274
26;Beszterce u.;432
27;Becsi krt. (Boldogasszony);3036
28;Becsi krt. (Szentharomsag);2471
29;Beketelep, MEDIKeMIA;210
30;Beketelepi alt. Isk.;210
31;Bognar u.;360
32;Brassoi u.;300
33;Budapesti krt. + Jozsef Attila sgt. (Budapesti krt.);5478
34;Budapesti ut + Budapesti ut (Dorozsmai ut);2018
35;Centrum aruhaz;10992
36;Cincer u.;543
37;Cinke u.;2328
38;Csaba u.;2444
39;Csallokozi u.;120
40;Csanadi u.;2275
41;Csap u. + Gabor aron u.;1353
42;Csatorna;1563
43;Csemegi-to;1125
44;Cserepes sor;1026
45;Cserje u.;210
46;Csillag ter;7202
47;Csipkebogyo u.;300
48;Csonka u.;555
49;Damjanich u.;5061
50;Danko Pista u. + Lengyel u. + Gal u. + Sandor u. +Brusszeli krt.;7415
51;Deak Ferenc Gimnazium;3733
52;Deli Karoly u.;543
53;Derkovits fasor;576
54;Diofa u. (Derkovits fasor);576
55;Diofa u. (Szoregi ut);600
56;Diofa Vendeglo;4265
57;Dobo u.;1034
58;Dozsa u.;1850
59;Drava u.;441
60;Dugonics ter;9101
61;Duna u.;1437
62;Elso Szegedi Ipari Park;120
63;Erdelyi ter;1146
64;Erdo u.;2444
65;Erdotarcsa u.;1263
66;Etelka sor;2132
67;Etelka sor (Felso Tisza-part);1185
68;Fecske u.;2824
69;Feherparti lejaro;800
70;Fehertoi halgazdasag;60
71;Fonogyari ut;2729
72;Foldhivatal;333
73;Foldvari u.;400
74;Fo fasor;1464
75;Fuveszkert;240
76;Galamb u.;1284
77;Gardonyi Geza u.;800
78;Gat u.;2300
79;Glattfelder Gyula ter + Ifjusagi haz;5694
80;Golya u.;765
81;Gozmalom u.;600
82;Gumigyar;30
83;Gumigyar, buszfordulo;230
84;Gyalaret;543
85;Gyar u. (Magyar u.);600
86;Gyar u. (Szerb u.);576
87;Gyermekkorhaz;1375
88;Gyumolcs u.;360
89;Hajnal u.;1569
90;Hajos u.;903
91;Hargitai u.;1146
92;Hathazak;240
93;Halo u.;1850
94;Hetvezer u.;5424
95;Holt-Tisza;1034
96;Honfoglalas u.;873
97;Honved ter;3240
98;Huszar u. (Okmanyiroda);804
99;Huszka Jeno u.;1263
100;II. Korhaz;3456
101;Ikarusz koz;813
102;Ipoly sor;540
103;Iskola u.;600
104;Jerney Janos alt. Isk.;1263
105;Kalasz u.;438
106;Kamaratoltes;1176
107;Kamarasi u.;1034
108;Katalin u.;1182
109;Kavics u.;1176
110;Kalvaria sgt. (Vasarhelyi Pal u.) + Kenyergyari ut;1569
111;Kalvaria ter;3456
112;Kecskemeti u.;2929
113;Kecskes;1615
114;Kecskes telep, Bodi Vera u.;800
115;Kecskes telep, Gera Sandor u.;800
116;Kereskedelmi rakt.;120
117;Kereskedo koz;501
118;Kereskedo koz (EXPO);120
119;Kiserleti gazdasag;60
120;Kiskertek;543
121;Kiskundorozsma, ABC + Szent János ter;1563
122;Kiskundorozsma, Czekus u.;1263
123;Kiskundorozsma, Furdo;300
124;Kiskundorozsma, va.bej.;1563
125;Kiskundorozsma, Vasarter;1263
126;Kisstadion;276
127;Klara u.;1182
128;Klinikak;2850
129;Kokarda u.;360
130;Kollegiumi ut;1563
131;Kolozsvari ter;765
132;Koppany koz;800
133;Kossuth Lajos alt. Isk;576
134;Koszoru u.;543
135;Kortoltes u.;1015
136;Kozep fasor;1146
137;Kozep fasor (Berkert u.);1182
138;Lidicei ter;438
139;Londoni krt. (Bakay N. u.);804
140;Londoni krt. (Kalvaria sgt.) + Kalvaria sgt.;2769
141;Lugas u.;1561
142;Makkoshaz;3101
143;Makkoshazi krt. (sima+Rokusi+Csongradi) + Europa liget;8461
144;Malom (Dorozsmai ut, Jerney);1563
145;Marostoi u.;1182
146;Mars ter;13177
147;Moravarosi Bevasarlokozpont;444
148;Mura u.;804
149;Muzeum;1000
150;Nagyszombati u. (paratlan oldal);90
151;Nagyszombati u. (paros);120
152;Napfeny koz;1176
153;Napos ut (Dorozsmai ut);90
154;Negyvennyolcas u.;1263
